timestamp,YT.12PI_83033.PV,YT.12FI_83033A.PV,YT.12TI_83033.PV
2025/7/1 12:00:00,491.4704879,31427.67188,155.2195435
2025/7/1 12:00:00,491.4215393,31582.88281,155.2033743
2025/7/1 12:00:00,491.2785034,31698.75781,155.1910259
2025/7/1 12:00:00,491.4454041,31534.96094,155.1857838
2025/7/1 12:00:00,491.3599342,31522.80078,155.1909332
2025/7/1 12:00:00,491.2546692,31487.75391,155.2147675
2025/7/1 12:01:00,491.2546692,31409.78711,155.2198763
2025/7/1 12:01:00,491.5169373,31265.30469,155.2224655
2025/7/1 12:01:00,491.1116028,31284.61719,155.2225001
2025/7/1 12:01:00,491.3977051,31121.53516,155.2199457
2025/7/1 12:01:00,491.135437,31101.50781,155.2147675
2025/7/1 12:01:00,491.183136,30967.75586,155.2064709
2025/7/1 12:02:00,491.1131738,30862.60938,155.195694
2025/7/1 12:02:00,491.0400696,30869.76172,155.1803791
2025/7/1 12:02:00,491.0162354,30698.09961,155.1670837
2025/7/1 12:02:00,491.183136,30544.31641,155.1618376
2025/7/1 12:02:00,490.9208679,30501.40234,155.1601367
2025/7/1 12:02:00,491.0400696,30320.4375,155.1607671
2025/7/1 12:03:00,490.8016663,30278.23828,155.1625148
2025/7/1 12:03:00,491.2546692,29959.94336,155.164166
2025/7/1 12:03:00,490.9447021,29971.38867,155.1645067
2025/7/1 12:03:00,491.135437,29786.13281,155.162323
2025/7/1 12:03:00,490.5870972,29964.23633,155.1519925
2025/7/1 12:03:00,490.6728528,29853.36914,155.1368098
2025/7/1 12:04:00,490.777832,29588.7207,155.1289368
2025/7/1 12:04:00,490.8393052,29611.60938,155.157547
2025/7/1 12:04:00,490.8888359,29538.65234,155.1613685
2025/7/1 12:04:00,490.8970337,29412.76367,155.1638345
2025/7/1 12:04:00,490.6347656,29444.95117,155.1648151
2025/7/1 12:04:00,490.8016663,29341.23633,155.1641806
2025/7/1 12:05:00,490.6824646,29360.55078,155.1618012
2025/7/1 12:05:00,490.6585999,29364.125,155.157547
2025/7/1 12:05:00,490.8016663,29387.73047,155.1519934
2025/7/1 12:05:00,490.3963623,29481.42969,155.1459849
2025/7/1 12:05:00,490.2532959,29423.49219,155.139795
2025/7/1 12:05:00,490.2294617,29397.74414,155.1336975
2025/7/1 12:06:00,490.4201965,29347.67578,155.1277183
2025/7/1 12:06:00,490.0863953,29343.38477,155.1217268
2025/7/1 12:06:00,489.8479919,29415.625,155.1157621
2025/7/1 12:06:00,489.8718262,29377.00195,155.1098633
2025/7/1 12:06:00,489.5857239,29392.02148,155.1044158
2025/7/1 12:06:00,489.442688,29459.25781,155.0994934
2025/7/1 12:07:00,489.1088867,29527.92188,155.0946671
2025/7/1 12:07:00,489.0124297,29578.70703,155.0895081
2025/7/1 12:07:00,488.9896545,29681.70508,155.0835877
2025/7/1 12:07:00,489.1088867,29663.82227,155.0764771
2025/7/1 12:07:00,488.4889832,29907.72852,155.0658487
2025/7/1 12:07:00,488.679718,29855.51367,155.0519757
2025/7/1 12:08:00,488.8227539,29806.875,155.0383301
2025/7/1 12:08:00,488.8427468,29918.45898,155.0240223
2025/7/1 12:08:00,488.7715177,30005.00586,155.0144958
2025/7/1 12:08:00,488.6961063,30075.10156,155.0187324
2025/7/1 12:08:00,488.7035522,30246.76367,155.0301401
2025/7/1 12:08:00,489.0612183,30219.58398,155.0383301
2025/7/1 12:09:00,488.9419556,30278.23828,155.0351761
2025/7/1 12:09:00,489.1804199,30283.96094,155.0244171
2025/7/1 12:09:00,489.419668,30432.73633,155.013462
2025/7/1 12:09:00,489.6423539,30558.62109,155.0097198
2025/7/1 12:09:00,489.7526245,30503.54688,155.0383301
2025/7/1 12:09:00,489.5141907,30715.97852,155.0443943
2025/7/1 12:10:00,489.6095581,30652.32422,155.0439762
2025/7/1 12:10:00,489.800293,30715.97852,155.0401184
2025/7/1 12:10:00,489.7049255,30725.99219,155.0358632
2025/7/1 12:10:00,489.9433594,30698.8125,155.0342529
2025/7/1 12:10:00,490.1643705,30783.21484,155.0383301
2025/7/1 12:10:00,490.3248291,30776.0625,155.0553279
2025/7/1 12:11:00,490.1579285,30740.30078,155.0786935
2025/7/1 12:11:00,490.5632324,30637.30078,155.0907898
2025/7/1 12:11:00,490.3724976,30771.77148,155.0621796
2025/7/1 12:11:00,490.4346645,30877.63281,155.0569487
2025/7/1 12:11:00,490.467865,30889.07813,155.0574448
2025/7/1 12:11:00,490.3486633,30913.39648,155.0629398
2025/7/1 12:12:00,490.2056274,31069.32227,155.0727055
2025/7/1 12:12:00,490.3963623,30894.08008,155.0860138
2025/7/1 12:12:00,490.1817627,30965.60938,155.1098633
2025/7/1 12:12:00,489.9910278,31025.69141,155.1088887
2025/7/1 12:12:00,490.0989781,31100.07813,155.092873
2025/7/1 12:12:00,490.2771301,30916.96875,155.0758158
2025/7/1 12:13:00,489.9910278,31065.74609,155.0717163
2025/7/1 12:13:00,490.8016663,30882.63672,155.1050873
2025/7/1 12:13:00,489.9671936,31193.06055,155.0764771
2025/7/1 12:13:00,490.3248291,31014.96289,155.0853465
2025/7/1 12:13:00,490.5632324,31075.75977,155.1003265
2025/7/1 12:13:00,490.7539673,31090.06445,155.1182522
2025/7/1 12:14:00,490.9924011,31049.29492,155.1336975
2025/7/1 12:14:00,491.0980724,31055.73242,155.1290644
2025/7/1 12:14:00,491.1046159,30956.31055,155.111459
2025/7/1 12:14:00,491.1086942,31003.51758,155.1050873
2025/7/1 12:14:00,491.2069702,31060.02344,155.1384735
2025/7/1 12:14:00,491.6838379,31003.51758,155.153257
2025/7/1 12:15:00,491.5169373,31074.32813,155.1617192
2025/7/1 12:15:00,491.898407,30791.79883,155.162323
2025/7/1 12:15:00,492.1130066,30787.50781,155.1414503
2025/7/1 12:15:00,491.8745728,30970.61719,155.1241608
2025/7/1 12:15:00,492.5421448,30869.76172,155.157547
2025/7/1 12:15:00,492.7090454,30915.53711,155.1760449
2025/7/1 12:16:00,493.0189819,30837.57617,155.1897903
2025/7/1 12:16:00,493.3050842,30689.51758,155.195694
2025/7/1 12:16:00,493.4481506,30744.5918,155.1776276
2025/7/1 12:16:00,493.686554,30653.75391,155.162323
2025/7/1 12:16:00,493.8057556,30643.02148,155.20047
2025/7/1 12:16:00,493.686554,30774.63281,155.2290802
2025/7/1 12:17:00,493.7806222,30772.48633,155.2529144
2025/7/1 12:17:00,493.901123,30714.54688,155.2667252
2025/7/1 12:17:00,493.9249878,30645.16797,155.2767639
2025/7/1 12:17:00,493.7103882,30688.08594,155.2851152
2025/7/1 12:17:00,493.4004517,30697.38086,155.2930401
2025/7/1 12:17:00,493.28125,30762.47266,155.2996502
2025/7/1 12:18:00,493.1911213,30722.41992,155.3040576
2025/7/1 12:18:00,493.1143494,30715.26563,155.3053741
2025/7/1 12:18:00,493.2097168,30595.09961,155.2938917
2025/7/1 12:18:00,492.2798767,30828.99219,155.2815247
2025/7/1 12:18:00,492.2302447,30728.14063,155.2961435
2025/7/1 12:18:00,492.1845093,30746.73828,155.3101349
2025/7/1 12:19:00,491.7315369,30826.8457,155.2910614
2025/7/1 12:19:00,491.7792053,30748.88281,155.2808952
2025/7/1 12:19:00,491.6600037,30815.40234,155.2736803
2025/7/1 12:19:00,491.4779252,30653.03516,155.2624512
2025/7/1 12:19:00,491.2785034,30716.69727,155.2386169
2025/7/1 12:19:00,491.0877686,30748.88281,155.2295848
2025/7/1 12:20:00,491.0162354,30658.75781,155.2256973
2025/7/1 12:20:00,490.8016663,30609.4043,155.2223073
2025/7/1 12:20:00,490.9685669,30380.51953,155.2147675
2025/7/1 12:20:00,490.8016663,30453.47656,155.1984888
