timestamp,YT.12PI_83003.PV,YT.12FI_83003.PV,YT.12TI_83003.PV
2025/7/1 12:00:00,446.4074402,8240.386719,154.9496705
2025/7/1 12:00:10,446.3597412,8220.930664,154.9438087
2025/7/1 12:00:20,446.3597412,8187.411133,154.9359705
2025/7/1 12:00:30,446.3120728,8031.827148,154.92687
2025/7/1 12:00:40,446.2662258,8077.384766,154.9172211
2025/7/1 12:00:50,446.2167053,8318.962891,154.9077377
2025/7/1 12:01:00,446.0975037,8306.212891,154.8991339
2025/7/1 12:01:10,446.335907,8001.695801,154.8921236
2025/7/1 12:01:20,446.0975037,8021.382324,154.8874207
2025/7/1 12:01:30,446.0259705,8069.820313,154.8859827
2025/7/1 12:01:40,446.0021362,8004.807617,154.8870801
2025/7/1 12:01:50,445.8590698,7902.540039,154.8888965
2025/7/1 12:02:00,445.9067688,7778.402344,154.8896155
2025/7/1 12:02:10,445.8590698,7883.370605,154.8874207
2025/7/1 12:02:20,446.0021362,7916.439941,154.879127
2025/7/1 12:02:30,446.0975037,7867.57959,154.8670491
2025/7/1 12:02:40,446.1690063,7742.980469,154.8576202
2025/7/1 12:02:50,446.1690063,7895.602051,154.8528521
2025/7/1 12:03:00,446.0736389,7820.370605,154.8504681
2025/7/1 12:03:10,446.0736389,7784.710938,154.8504681
2025/7/1 12:03:20,446.1690063,7782.239258,154.8528521
2025/7/1 12:03:30,446.1928711,7923.178711,154.8576202
2025/7/1 12:03:40,446.3597412,7804.728516,154.8740105
2025/7/1 12:03:50,446.3999081,7894.579102,154.8874207
2025/7/1 12:04:00,446.4313049,7837.122559,154.8874207
2025/7/1 12:04:10,446.4790039,7915.589844,154.8874207
2025/7/1 12:04:20,446.6220398,7890.364258,154.8874207
2025/7/1 12:04:30,446.4790039,8061.292969,154.8874207
2025/7/1 12:04:40,446.7412415,7922.814453,154.8874207
2025/7/1 12:04:50,446.6220398,8013.649902,154.8874207
2025/7/1 12:05:00,446.5028381,7841.403809,154.8874207
2025/7/1 12:05:10,446.5266724,7798.591797,154.8874207
2025/7/1 12:05:20,446.3120728,7818.986816,154.8874207
2025/7/1 12:05:30,446.3597412,7772.584473,154.8874207
2025/7/1 12:05:40,446.1451721,7793.052246,154.8874207
2025/7/1 12:05:50,446.0498047,7677.189941,154.8841023
2025/7/1 12:06:00,445.7398682,7720.431641,154.8760882
2025/7/1 12:06:10,445.5968018,7773.889648,154.8662902
2025/7/1 12:06:20,445.3583984,7715.477539,154.8576202
2025/7/1 12:06:30,445.1676636,7641.094727,154.8514725
2025/7/1 12:06:40,444.9769287,7722.063477,154.8465475
2025/7/1 12:06:50,444.8577271,7728.381836,154.8417164
2025/7/1 12:07:00,445.0484619,7608.14502,154.8358502
2025/7/1 12:07:10,444.9530945,7867.098633,154.8278198
2025/7/1 12:07:20,445.0245972,7888.268066,154.7980042
2025/7/1 12:07:30,445.1199646,7924.071289,154.8004034
2025/7/1 12:07:40,445.4776001,7746.129883,154.8046536
2025/7/1 12:07:50,445.215332,7963.791016,154.8101375
2025/7/1 12:08:00,445.3583984,8133.035156,154.816238
2025/7/1 12:08:10,446.0259705,7832.522949,154.8223378
2025/7/1 12:08:20,446.1213379,8095.320801,154.8278198
2025/7/1 12:08:30,446.0259705,8210.177734,154.8333178
2025/7/1 12:08:40,446.0498047,8442.34668,154.8394527
2025/7/1 12:08:50,446.3597412,8381.28125,154.8455874
2025/7/1 12:09:00,446.4074402,8290.131836,154.8510848
2025/7/1 12:09:10,445.7398682,8627.40625,154.8553081
2025/7/1 12:09:20,445.668335,8475.786133,154.8576202
2025/7/1 12:09:30,445.5252991,8404.735352,154.8536075
2025/7/1 12:09:40,445.4537659,8486.880859,154.8432921
2025/7/1 12:09:50,445.3106995,8408.94043,154.8326906
2025/7/1 12:10:00,445.215332,8242.490234,154.8278198
2025/7/1 12:10:10,445.3106995,8199.563477,154.8278198
2025/7/1 12:10:20,445.0722961,8545.972656,154.8278198
2025/7/1 12:10:30,445.1676636,8568.994141,154.8278198
2025/7/1 12:10:40,445.4537659,8440.75293,154.8278198
2025/7/1 12:10:50,445.3583984,8667.958008,154.8278198
2025/7/1 12:11:00,445.5252991,8545.904297,154.8278198
2025/7/1 12:11:10,445.5014343,8477.516602,154.8278198
2025/7/1 12:11:20,445.5729675,8504.075195,154.8278198
2025/7/1 12:11:30,445.3345642,8517.849609,154.8278198
2025/7/1 12:11:40,445.4060669,8501.615234,154.8278198
2025/7/1 12:11:50,445.1676636,8504.603516,154.8278198
2025/7/1 12:12:00,445.1676636,8586.915039,154.8278198
2025/7/1 12:12:10,445.1676636,8551.15625,154.7980042
2025/7/1 12:12:20,445.5252991,8347.258789,154.7943396
2025/7/1 12:12:30,445.3583984,8377.492188,154.8063323
2025/7/1 12:12:40,445.1438293,8413.985352,154.8237355
2025/7/1 12:12:50,445.0007629,8579.03418,154.8363023
2025/7/1 12:13:00,445.3822327,8432.285156,154.833786
2025/7/1 12:13:10,445.3345642,8550.790039,154.792038
2025/7/1 12:13:20,445.5968018,8421.195313,154.794243
2025/7/1 12:13:30,445.8352356,8497.232422,154.8000677
2025/7/1 12:13:40,445.5729675,8636.255859,154.808368
2025/7/1 12:13:50,445.8590698,8468.847656,154.818
2025/7/1 12:14:00,446.0736389,8376.902344,154.8278198
2025/7/1 12:14:10,446.0975037,8686.128906,154.8378202
2025/7/1 12:14:20,446.6697388,8462.445313,154.848088
2025/7/1 12:14:30,446.4313049,8666.200195,154.8576202
2025/7/1 12:14:40,446.8127747,8572.597656,154.8654607
2025/7/1 12:14:50,446.6697388,8719.285156,154.8721817
2025/7/1 12:15:00,446.9319763,8378.341797,154.879072
2025/7/1 12:15:10,446.9796753,8553.081055,154.8874207
2025/7/1 12:15:20,447.2180786,8534.966797,154.8985713
2025/7/1 12:15:30,447.2657776,8675.132813,154.9113317
2025/7/1 12:15:40,447.766449,8272.017578,154.9231873
2025/7/1 12:15:50,447.7902832,8401.535156,154.9335919
2025/7/1 12:16:00,447.7426147,8484.626953,154.9436304
2025/7/1 12:16:10,448.028717,8256.736328,154.953235
2025/7/1 12:16:20,448.0048828,8323.234375,154.9623378
2025/7/1 12:16:30,448.1002502,8375.932617,154.970871
2025/7/1 12:16:40,448.3148193,8200.452148,154.9798553
2025/7/1 12:16:50,448.4578552,8266.003906,154.9893834
2025/7/1 12:17:00,448.5293884,8278.396484,154.9979962
2025/7/1 12:17:10,448.6485901,8197.4375,155.004234
2025/7/1 12:17:20,448.5293884,8240.536133,155.0066376
2025/7/1 12:17:30,448.4578552,8175.161133,155.0066376
2025/7/1 12:17:40,448.434021,8294.911133,155.0066376
2025/7/1 12:17:50,448.434021,8354.37207,155.0066376
2025/7/1 12:18:00,448.4578552,8205.208008,155.0066376
2025/7/1 12:18:10,448.2671204,8370.055664,155.0066376
