timestamp,YT.11FI_02044.PV,YT.11PIC_02044.PV,YT.11TI_02044.PV,YT.11PIC_02044.MV
2025/7/1 12:00:00,30337.62695,0.457068652,156.587262,NaN
2025/7/1 12:00:10,30243.33594,0.457089752,156.5532837,0
2025/7/1 12:00:20,30284.12891,0.457018226,156.5175171,NaN
2025/7/1 12:00:30,30178.77148,0.456903785,156.5106867,NaN
2025/7/1 12:00:40,30158.75391,0.456844394,156.513543,NaN
2025/7/1 12:00:50,30075.78906,0.456817955,156.5208702,NaN
2025/7/1 12:01:00,30105.10938,0.456817955,156.5274523,NaN
2025/7/1 12:01:10,30053.69922,0.456817955,156.5280732,0
2025/7/1 12:01:20,30072.65625,0.456817955,156.5175171,NaN
2025/7/1 12:01:30,30009.36328,0.456817955,156.4817505,NaN
2025/7/1 12:01:40,30008.24023,0.456817955,156.4817505,NaN
2025/7/1 12:01:50,30000.75977,0.456817955,156.4817505,NaN
2025/7/1 12:02:00,29913.22656,0.456817955,156.4817505,NaN
2025/7/1 12:02:10,29975.97852,0.456817955,156.4817505,0
2025/7/1 12:02:20,29937.17383,0.456817955,156.4817505,NaN
2025/7/1 12:02:30,29991.0293,0.456817955,156.4817505,NaN
2025/7/1 12:02:40,29960.9082,0.456817955,156.4817505,NaN
2025/7/1 12:02:50,29901.79102,0.456817955,156.4817505,NaN
2025/7/1 12:03:00,29939.93945,0.456946701,156.4817505,0
2025/7/1 12:03:10,29952.09375,0.456982047,156.4817505,NaN
2025/7/1 12:03:20,29979.97656,0.456985375,156.4817505,NaN
2025/7/1 12:03:30,29957.61523,0.456978182,156.4817505,NaN
2025/7/1 12:03:40,29967.60938,0.456981967,156.4817505,NaN
2025/7/1 12:03:50,29963.66211,0.457018226,156.4817505,NaN
2025/7/1 12:04:00,30053.83203,0.457104057,156.4817505,0
2025/7/1 12:04:10,30103.47656,0.457165406,156.4817505,NaN
2025/7/1 12:04:20,30033.26758,0.457189888,156.4817505,NaN
2025/7/1 12:04:30,30071.94727,0.457150444,156.4817505,NaN
2025/7/1 12:04:40,30135.97266,0.457104057,156.4900298,NaN
2025/7/1 12:04:50,30073.43164,0.457082533,156.5062572,0
2025/7/1 12:05:00,29991.63477,0.45706896,156.5175171,NaN
2025/7/1 12:05:10,30154.63086,0.457058997,156.5212062,NaN
2025/7/1 12:05:20,30148.45703,0.457048301,156.5233612,NaN
2025/7/1 12:05:30,30190.01367,0.457032531,156.524026,NaN
2025/7/1 12:05:40,30118.72656,0.456998131,156.5232443,NaN
2025/7/1 12:05:50,30205.37695,0.456932396,156.52106,0
2025/7/1 12:06:00,30155.14063,0.456703514,156.5175171,NaN
2025/7/1 12:06:10,30231.08984,0.456631988,156.5125066,NaN
2025/7/1 12:06:20,30345.05469,0.456517547,156.506104,NaN
2025/7/1 12:06:30,30372.33203,0.456446022,156.4986301,NaN
2025/7/1 12:06:40,30386.13672,0.456360132,156.4904054,NaN
2025/7/1 12:06:50,30428.61133,0.456202835,156.4817505,0
2025/7/1 12:07:00,30498.50391,0.456059784,156.4716049,NaN
2025/7/1 12:07:10,30511.26367,0.455945343,156.4598816,NaN
2025/7/1 12:07:20,30512.10156,0.455830902,156.4483621,NaN
2025/7/1 12:07:30,30584.08984,0.455764091,156.4388275,NaN
2025/7/1 12:07:40,30643.42578,0.455702096,156.4306584,NaN
2025/7/1 12:07:50,30577.68555,0.455616266,156.4224895,0
2025/7/1 12:08:00,30456.11133,0.455530435,156.4149829,NaN
2025/7/1 12:08:10,30487.5332,0.455415994,156.4088011,NaN
2025/7/1 12:08:20,30448.96484,0.455369911,156.4046063,NaN
2025/7/1 12:08:30,30352.36719,0.455330163,156.4030609,NaN
2025/7/1 12:08:40,30320.89648,0.455258697,156.4030609,NaN
2025/7/1 12:08:50,30375.25195,0.455254626,156.4030609,0
2025/7/1 12:09:00,30286.06836,0.455284021,156.4030609,NaN
2025/7/1 12:09:10,30236.35938,0.455330163,156.4030609,NaN
2025/7/1 12:09:20,30296.34375,0.455401748,156.4030609,NaN
2025/7/1 12:09:30,30281.90625,0.455422419,156.4030609,NaN
2025/7/1 12:09:40,30176.50195,0.45541741,156.4030609,NaN
2025/7/1 12:09:50,30275.59766,0.455399779,156.4030609,0
2025/7/1 12:10:00,30215.76172,0.455382586,156.4030609,NaN
2025/7/1 12:10:10,30128.32813,0.455378889,156.4030609,NaN
2025/7/1 12:10:20,30126.21289,0.455401748,156.4030609,NaN
2025/7/1 12:10:30,30176.83789,0.455473214,156.4030609,NaN
2025/7/1 12:10:40,30162.33008,0.455525023,156.4030609,NaN
2025/7/1 12:10:50,30083.14453,0.45557341,156.4030609,0
2025/7/1 12:11:00,30086.64258,0.455626695,156.4030609,NaN
2025/7/1 12:11:10,30116.14648,0.455673486,156.4030609,NaN
2025/7/1 12:11:20,30057.74023,0.455709323,156.4030609,NaN
2025/7/1 12:11:30,30106.05273,0.455740325,156.4030609,NaN
2025/7/1 12:11:40,30146.4082,0.455762956,156.4030609,NaN
2025/7/1 12:11:50,30204.67578,0.455773681,156.4030609,0
2025/7/1 12:12:00,30202.99609,0.455762422,156.4030609,NaN
2025/7/1 12:12:10,30233.04492,0.455734096,156.4030609,NaN
2025/7/1 12:12:20,30268.60742,0.455707667,156.4030609,NaN
2025/7/1 12:12:30,30300.50195,0.455702096,156.4030609,NaN
2025/7/1 12:12:40,30256.17383,0.455732458,156.4030609,NaN
2025/7/1 12:12:50,30225.05273,0.455773681,156.4030609,0
2025/7/1 12:13:00,30106.16992,0.455802649,156.4030609,NaN
